IB1a;Monday;Tuesday;Wednesday;Thursday;Friday;;
;;;;;;;
;;;;;;;
;;;;;;;
IB5a;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;ERP-Systeme;;ERP-Labor;DB2 und K-Netze2;Autonome Systeme und RA;;
;E305;;E201;E305;E305;;
;Philipp;;Philipp;Rotert;Burghart, Ditzinger;;
09:50-11:20;Verteilte Informationssysteme Labor;Autonome Systeme und RA;;;DB2 und K-Netze2;;
;LI136;E203;;;E213;;
;Gremminger;Burghart, Ditzinger;;;Rotert;;
11:30-13:00;;SW-Engineering;;Verteilte Informationssysteme Labor;ERP-Systeme;;
;;LI137;;LI008;E213;;
;;Fuchß;;Gremminger;Philipp;;
14:00-15:30;;SW-Engineering;;;;;
;;LI137;;;;;
;;Fuchß;;;;;
15:40-17:10;;SW-Engineering;;;;;
;;LI137;;;;;
;;Fuchß;;;;;
17:20-18:50;;SW-Engineering;;;;;
;;LI137;;;;;
;;Fuchß;;;;;
;;;;;;;
;;;;;;;
IB5b;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;Autonome Systeme und RA;ERP-Systeme;;Verteilte Informationssysteme;ERP-Labor;;
;E302;E201;;E301;E203;;
;Burghart, Ditzinger;Philipp;;Gremminger;Philipp;;
09:50-11:20;DB2 und K-Netze2;;;SW-Engineering;Autonome Systeme und RA;;
;E301;;;LI141;E305;;
;Rotert;;;Fuchß;Burghart, Ditzinger;;
11:30-13:00;;DB2 und K-Netze2;;SW-Engineering;Verteilte Informationssysteme;;
;;E201;;LI141;E304;;
;;Rotert;;Fuchß;Gremminger;;
14:00-15:30;;;;SW-Engineering;ERP-Systeme;;
;;;;LI141;E303;;
;;;;Fuchß;Philipp;;
15:40-17:10;;;;SW-Engineering;;;
;;;;LI141;;;
;;;;Fuchß;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
IB6;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;Computergrafik;Spez. Kap. Software Engineering;Computergrafik;Embedded Labor;Robotics;;
;E303;E304;E305;LI136;E213;;
;Henning;Fuchß;Henning;Hoffmann;Haag;;
09:50-11:20;Gameprogramming;Recht;IT-Consulting;Embedded Labor;Geschäftsprozesse;;
;E305;E201;E305;LI136;E304;;
;Henning;Stumpf;Philipp;Hoffmann;Haneke;;
11:30-13:00;Rhetorik;Seminar;;Intercultural Comm.;Intercultural Comm.;;
;E201;E301;;E301;E303;;
;Thielemann;Alle Professoren;;Rose;Rose;;
14:00-15:30;Labor Bildverarbeitung;Advanced Networking;;Computer Vision;Embedded Software;;
;E303;E201;;E203;E304;;
;Laubenheimer;Magschok;;Laubenheimer;Hoffmann;;
15:40-17:10;;Advanced Networking;;Modellb. SW-Entw.;Business Intelligence;;
;;E201;;E203;E201;;
;;Magschok;;Supp;Haneke;;
17:20-18:50;;;;Networksecurity;Benutzeroberflächen;;
;;;;E302;E302;;
;;;;Magschok;Vogelsang;;
;;;;;;;
;;;;;;;
IB7;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;Qualitätssicherung;Teamteaching;Labor Autonome Systeme;;;;
