IB1a;Monday;Tuesday;Wednesday;Thursday;Friday;;
;;Körner, Thielemann;;;Körner, Thielemann;;
;;;;;;;
;;;;;;;
IB5a;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;ERP-Systeme;Verteilte Informationssysteme;Verteilte Informationssysteme Labor;ERP-Systeme;SW-Engineering;;
;E302;E302;LI141;E304;LI141;;
;Philipp;Gremminger;Gremminger;Philipp;Fuchß;;
09:50-11:20;DB2 und K-Netze2;;;DB2 und K-Netze2;SW-Engineering;;
;E301;;;E201;LI141;;
;Rotert;;;Rotert;Fuchß;;
11:30-13:00;ERP-Labor;Autonome Systeme und RA;;Autonome Systeme und RA;SW-Engineering;;
;E301;E302;;E203;LI141;;
;Philipp;Ditzinger, Burghart;;Ditzinger, Burghart;Fuchß;;
14:00-15:30;;;;;SW-Engineering;;
;;;;;LI141;;
;;;;;Fuchß;;
15:40-17:10;;;;;;;
;;;;;;;
;;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
IB5b;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;Verteilte Informationssysteme;ERP-Systeme;DB2 und K-Netze2;DB2 und K-Netze2;ERP-Systeme;;
;E303;E301;E213;E303;E304;;
;Gremminger;Philipp;Rotert;Rotert;Philipp;;
09:50-11:20;;Autonome Systeme und RA;Autonome Systeme und RA;SW-Engineering;ERP-Labor;;
;;E213;E302;LI008;E303;;
;;Ditzinger, Burghart;Ditzinger, Burghart;Fuchß;Philipp;;
11:30-13:00;;Verteilte Informationssysteme Labor;;SW-Engineering;;;
;;LI008;;LI008;;;
;;Gremminger;;Fuchß;;;
14:00-15:30;;;;SW-Engineering;;;
;;;;LI008;;;
;;;;Fuchß;;;
15:40-17:10;;;;SW-Engineering;;;
;;;;LI008;;;
;;;;Fuchß;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
IB6;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;Intercultural Comm.;Gameprogramming;Advanced Networking;Intercultural Comm.;Robotics;;
;E301;E305;E201;E305;E303;;
;Rose;Henning;Magschok;Rose;Haag;;
09:50-11:20;Benutzeroberflächen;IT-Consulting;Advanced Networking;Embedded Labor;Computer Vision;;
;E302;E305;E201;LI141;E201;;
;Vogelsang;Philipp;Magschok;Hoffmann;Laubenheimer;;
11:30-13:00;Spez. Kap. Software Engineering;Computergrafik;;Embedded Labor;Labor Bildverarbeitung;;
;E305;E213;;LI141;E301;;
;Fuchß;Henning;;Hoffmann;Laubenheimer;;
14:00-15:30;Embedded Software;Recht;Business Intelligence;Modellb. SW-Entw.;Geschäftsprozesse;;
;E303;E213;E305;E301;E302;;
;Hoffmann;Stumpf;Haneke;Supp;Haneke;;
15:40-17:10;;Geschäftsprozesse;Computergrafik;;;;
;;E213;E213;;;;
;;Philipp;Henning;;;;
17:20-18:50;Networksecurity;Seminar;;Rhetorik;;;
;E303;E201;;E303;;;
;Magschok;Alle Professoren;;Thielemann;;;
;;;;;;;
;;;;;;;
IB7;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;;;Labor Autonome Systeme;Multimedia;;
;;;;LI141;E213;;
;;;;Link;Henning;;
09:50-11:20;;;;;Teamteaching;;
;;;;;E203;;
;;;;;Vogelsang;;
11:30-13:00;Qualitätssicherung;;;Projektmanagement;;;
;E201;;;E302;;;
;Hoffmann;;;Haneke;;;
14:00-15:30;;;;High Performance Computing;;;
;;;;E302;;;
;;;;Nestler;;;
15:40-17:10;;;;High Performance Computing;;;
;;;;E302;;;
;;;;Nestler;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
IM1;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;;Datenrepräsentation und -übertragung;Modellierung und Simulation;Verteilte Informationssysteme;;
;;;E203;E302;E302;;
;;;Hoffmann;Nestler;Gremminger;;
09:50-11:20;;Mobile Systeme;IT Service Management;IT Projektmanagement;Visualization and Semantics Lab;;
;;E303;E213;E304;LI008;;
;;Fuchß;Philipp;Haneke;Henning;;
11:30-13:00;Intelligente Systeme;;;;Visualization and Semantics;;
;E203;;;;E303;;
;Link;;;;Henning;;
14:00-15:30;;;;Projektarbeit1;;;
;;;;E201;;;
;;;;Alle Professoren;;;
15:40-17:10;;;;Projektarbeit1;;;
;;;;E201;;;
;;;;Alle Professoren;;;
17:20-18:50;;;Führungskräftetraining;Projektarbeit1;;;
;;;E302;E201;;;
;;;Hüttel;Alle Professoren;;;
;;;;;;;
;;;;;;;
IM2;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;IT-Sicherheit;Algorithmenentwurf;;;Dialog Systems;;
;E305;E304;;;E305;;
;Schaefer;Körner;;;Bröckl;;
09:50-11:20;Data Mining;Labor Benutzeroberflächen;;Labor Verteilte Systeme;Angewandte Kryptografie;;
;E305;E302;;E303;E302;;
;Laubenheimer;Vogelsang;;Gremminger;Schaefer;;
11:30-13:00;;Algorithmen Übung;;;;;
;;E304;;;;;
;;Pape;;;;;
14:00-15:30;;;;;;;
;;;;;;;
;;;;;;;
15:40-17:10;;Projektarbeit2;;;;;
;;E302;;;;;
;;Alle Professoren;;;;;
17:20-18:50;Seminar;Projektarbeit2;;;;;
;E301;E302;;;;;
;Alle Professoren;Alle Professoren;;;;;
;;;;;;;
;;;;;;;
Alle Professoren;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;;;;;;
;;;;;;;
;;;;;;;
09:50-11:20;;;;;;;
;;;;;;;
;;;;;;;
11:30-13:00;;;;;;;
;;;;;;;
;;;;;;;
14:00-15:30;;;;Projektarbeit1;;;
;;;;E201;;;
;;;;Alle Professoren;;;
15:40-17:10;;Projektarbeit2;;Projektarbeit1;;;
;;E302;;E201;;;
;;Alle Professoren;;Alle Professoren;;;
17:20-18:50;Seminar;Seminar;;Projektarbeit1;;;
;E301;E201;;E201;;;
;Alle Professoren;Alle Professoren;;Alle Professoren;;;
;;;;;;;
;;;;;;;
;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;Fremdsprachen;Softwarelabor;;Fremdsprachen;;;
;E201;E201;;E213;;;
;;;;;;;
09:50-11:20;Fremdsprachen;Softwarelabor;;Fremdsprachen;Softwarelabor;;
;E201;E201;;E213;E305;;
;;;;;;;
11:30-13:00;;;;;Softwarelabor;;
;;;;;E305;;
;;;;;;;
14:00-15:30;;;;;;;
;;;;;;;
;;;;;;;
15:40-17:10;;;;;;;
;;;;;;;
;;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
!!Noch nicht angelegt;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;;;;;;
;;;;;;;
;;;;;;;
09:50-11:20;;;;;;;
;;;;;;;
;;;;;;;
11:30-13:00;;;;;;;
;;;;;;;
;;;;;;;
14:00-15:30;;;;;;;
;;;;;;;
;;;;;;;
15:40-17:10;;;;;;;
;;;;;;;
;;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Bröckl;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;;;;Dialog Systems;;
;;;;;E305;;
;;;;;Bröckl;;
09:50-11:20;;;;;;;
;;;;;;;
;;;;;;;
11:30-13:00;;;;;;;
;;;;;;;
;;;;;;;
14:00-15:30;;;;;;;
